colony,day_removed,id,oocysts,par_presence,experimental_repeat
A,11,D5,8,1,3
A,11,D6,0,0,3
A,11,D7,5,1,3
A,11,D8,1,1,3
A,11,D9,0,0,3
A,11,D10,0,0,3
A,11,D11,0,0,3
A,11,D12,0,0,3
A,11,E1,1,1,3
A,11,E2,1,1,3
A,11,E3,0,0,3
A,11,E4,2,1,3
A,11,E5,0,0,3
A,11,E6,0,0,3
A,11,E7,0,0,3
A,11,E8,0,0,3
A,11,E9,0,0,3
A,11,E10,0,0,3
A,11,E11,0,0,3
A,11,E12,3,1,3
A,11,F1,0,0,3
A,11,F2,0,0,3
A,11,F3,0,0,3
A,11,F4,0,0,3
A,11,F5,0,0,3
A,11,F6,0,0,3
A,11,F7,0,0,3
A,11,F8,0,0,3
A,11,F9,0,0,3
A,11,F10,0,0,3
A,11,F11,5,1,3
A,11,F12,0,0,3
A,11,G1,0,0,3
A,11,G2,0,0,3
A,11,G3,0,0,3
A,11,G4,0,0,3
A,11,G5,0,0,3
A,11,G6,0,0,3
A,11,G7,1,1,3
A,11,G8,0,0,3
A,11,G9,0,0,3
A,11,G10,0,0,3
A,11,G11,0,0,3
A,11,G12,0,0,3
A,11,H1,1,1,3
A,11,H2,1,1,3
A,11,H3,0,0,3
A,11,H4,0,0,3
A,11,H5,0,0,3
A,11,H6,0,0,3
A,11,H7,0,0,3
A,11,H8,0,0,3
A,11,H9,0,0,3
A,11,H10,0,0,3
A,11,H11,1,1,3
A,11,H12,0,0,3
B,11,A1,12,1,3
B,11,A2,1,1,3
B,11,A3,0,0,3
B,11,A4,0,0,3
B,11,A5,0,0,3
B,11,A6,0,0,3
B,11,A7,0,0,3
B,11,A8,15,1,3
B,11,A9,0,0,3
B,11,A10,0,0,3
B,11,A11,0,0,3
B,11,A12,0,0,3
B,11,B1,0,0,3
B,11,B2,0,0,3
B,11,B3,3,1,3
B,11,B4,0,0,3
B,11,B5,0,0,3
B,11,B6,0,0,3
B,11,B7,0,0,3
B,11,B8,0,0,3
B,11,B9,0,0,3
B,11,B10,0,0,3
B,11,B11,0,0,3
B,11,B12,0,0,3
B,11,C1,0,0,3
B,11,C2,1,1,3
B,11,C3,0,0,3
B,11,C4,0,0,3
B,11,C5,0,0,3
B,11,C6,11,1,3
B,11,C7,0,0,3
B,11,C8,0,0,3
B,11,C9,0,0,3
B,11,C10,4,1,3
B,11,C11,1,1,3
B,11,C12,1,1,3
B,11,D1,31,1,3
B,11,D2,0,0,3
B,11,D3,0,0,3
B,11,D4,0,0,3
B,11,D5,0,0,3
B,11,D6,0,0,3
B,11,D7,0,0,3
B,11,D8,11,1,3
B,11,D9,0,0,3
B,11,D10,0,0,3
B,11,D11,0,0,3
B,11,D12,0,0,3
B,11,E1,0,0,3
B,11,E2,0,0,3
B,11,E3,0,0,3
B,11,E4,0,0,3
B,11,E5,0,0,3
B,11,E6,0,0,3
B,11,E7,0,0,3
B,11,E8,0,0,3
B,11,E9,0,0,3
B,11,E10,0,0,3
B,11,E11,0,0,3
B,11,E12,1,1,3
B,11,F1,0,0,3
B,11,F2,0,0,3
B,11,F3,0,0,3
B,11,F4,0,0,3
B,11,F5,0,0,3
B,11,F6,45,1,3
B,11,F7,1,1,3
B,11,F8,0,0,3
B,11,F9,0,0,3
B,11,F10,0,0,3
B,11,F11,1,1,3
B,11,F12,0,0,3
B,11,G1,0,0,3
B,11,G2,0,0,3
B,11,G3,3,1,3
B,11,G4,1,1,3
B,11,G5,0,0,3
B,11,G6,0,1,3
B,11,G7,0,0,3
B,11,G8,0,0,3
B,11,G9,0,0,3
B,11,G10,0,0,3
B,11,G11,0,0,3
B,11,G12,0,0,3
B,11,H1,0,0,3
B,11,H2,18,1,3
B,11,H3,1,1,3
B,11,H4,0,0,3
B,11,H5,0,0,3
B,11,H6,0,0,3
B,11,H7,0,0,3
B,11,H8,0,0,3
B,11,H9,0,0,3
B,11,H10,0,0,3
B,11,H11,4,1,3
B,11,H12,0,0,3
A,9,A1,0,0,4
A,9,A2,0,0,4
