"colony","group","day_removed","day_dissected","id","trophont","gamont","gut_gametocyst","par_presence","experimental_repeat"
"B","control",6,8,"C1","0","0","0","0",1
"B","control",6,8,"C2","0","0","0","0",1
"B","control",6,8,"C3","0","0","0","0",1
"B","control",6,8,"C4","0","0","0","0",1
"B","control",6,8,"C5","0","0","0","0",1
"B","control",6,8,"C6","0","0","0","0",1
"B","control",6,8,"C7","0","0","0","0",1
"B","control",6,8,"C8","0","0","0","0",1
"B","control",6,8,"C9","0","0","0","0",1
"B","control",6,8,"C10","0","0","0","0",1
"B","control",6,8,"C11","0","0","0","0",1
"B","control",6,8,"C12","0","0","0","0",1
"A","experimental",6,8,"E1","0","0","0","0",1
"A","experimental",6,8,"E2","0","0","0","0",1
"A","experimental",6,8,"E3","0","0","0","0",1
"A","experimental",6,8,"E4","0","0","0","0",1
"A","experimental",6,8,"E5","4","0","0","1",1
"A","experimental",6,8,"E6","165","7","0","1",1
"A","experimental",6,8,"E7","0","0","0","0",1
"A","experimental",6,8,"E8","0","0","0","0",1
"A","experimental",6,8,"E9","0","0","0","0",1
"A","experimental",6,8,"E10","86","0","0","1",1
"A","experimental",6,8,"E11","0","1","0","1",1
"A","experimental",6,8,"E12","0","0","0","0",1
"A","experimental",6,8,"F1","11","0","0","1",1
"A","experimental",6,8,"F2","4","0","0","1",1
"A","experimental",6,8,"F3","6","1","0","1",1
"A","experimental",6,8,"F4","0","0","0","0",1
"A","experimental",6,8,"F5","0","0","0","0",1
"A","experimental",6,8,"F6","2","0","0","1",1
"A","experimental",6,8,"F7","0","0","0","0",1
"A","experimental",6,8,"F8","15","2","0","1",1
"A","experimental",6,8,"F9","3","1","0","1",1
"A","experimental",6,8,"F10","0","0","0","0",1
"A","experimental",6,8,"F11","0","0","0","0",1
"A","experimental",6,8,"F12","145","1","0","1",1
"A","control",6,8,"C1","0","0","0","0",1
"A","control",6,8,"C2","0","0","0","0",1
"A","control",6,8,"C3","0","0","0","0",1
"A","control",6,8,"C4","0","0","0","0",1
"A","control",6,8,"C5","0","0","0","0",1
"A","control",6,8,"C6","0","0","0","0",1
"A","control",6,8,"C7","0","0","0","0",1
"A","control",6,8,"C8","0","0","0","0",1
"A","control",6,8,"C9","0","0","0","0",1
"A","control",6,8,"C10","0","0","0","0",1
"A","control",6,8,"C11","0","0","0","0",1
"A","control",6,8,"C12","0","0","0","0",1
"B","experimental",7,9,"G1","0","0","0","0",1
"B","experimental",7,9,"G2","2","0","0","1",1
"B","experimental",7,9,"G3","0","0","0","0",1
"B","experimental",7,9,"G4","0","0","0","0",1
"B","experimental",7,9,"G5","0","0","0","0",1
"B","experimental",7,9,"G6","0","5","0","1",1
"B","experimental",7,9,"G7","0","0","0","0",1
"B","experimental",7,9,"G8","0","0","0","0",1
"B","experimental",7,9,"G9","0","0","0","0",1
"B","experimental",7,9,"G10","60","0","0","1",1
"B","experimental",7,9,"G11","0","0","0","0",1
"B","experimental",7,9,"G12","9","4","0","1",1
"B","experimental",7,9,"H1","0","0","0","0",1
"B","experimental",7,9,"H2","91","10","0","1",1
"B","experimental",7,9,"H3","0","0","0","0",1
"B","experimental",7,9,"H4","0","1","0","1",1
"B","experimental",7,9,"H5","0","0","0","0",1
"B","experimental",7,9,"H6","5","1","0","1",1
"B","experimental",7,9,"H7","0","0","0","0",1
"B","experimental",7,9,"H8","0","0","0","0",1
"B","experimental",7,9,"H9","191","6","0","1",1
"B","experimental",7,9,"H10","0","0","0","0",1
"B","experimental",7,9,"H11","0","0","0","0",1
"B","experimental",7,9,"H12","0","5","0","1",1
"B","control",7,9,"D1","0","0","0","0",1
"B","control",7,9,"D2","0","0","0","0",1
"B","control",7,9,"D3","0","0","0","0",1
"B","control",7,9,"D4","0","0","0","0",1
"B","control",7,9,"D5","0","0","0","0",1
"B","control",7,9,"D6","0","0","0","0",1
"B","control",7,9,"D7","0","0","0","0",1
"B","control",7,9,"D8","0","0","0","0",1
"B","control",7,9,"D9","0","0","0","0",1
"B","control",7,9,"D10","0","0","0","0",1
"B","control",7,9,"D11","0","0","0","0",1
"B","control",7,9,"D12","0","0","0","0",1
"A","experimental",7,9,"G1","2","0","0","1",1
"A","experimental",7,9,"G2","0","0","0","0",1
"A","experimental",7,9,"G3","0","0","0","0",1
"A","experimental",7,9,"G4","0","0","0","0",1
"A","experimental",7,9,"G5","0","0","0","0",1
"A","experimental",7,9,"G6","0","0","0","0",1
"A","experimental",7,9,"G7","0","0","0","0",1
"A","experimental",7,9,"G8","0","0","0","0",1
"A","experimental",7,9,"G9","0","0","0","0",1
"A","experimental",7,9,"G10","30","5","0","1",1
"A","experimental",7,9,"G11","0","0","0","0",1
"A","experimental",7,9,"G12","0","0","0","0",1
"A","experimental",7,9,"H1","0","0","0","0",1
"A","experimental",7,9,"H2","0","0","0","0",1
"A","experimental",7,9,"H3","0","0","0","0",1
"A","experimental",7,9,"H4","0","0","0","0",1
"A","experimental",7,9,"H5","0","0","0","0",1
"A","experimental",7,9,"H6","0","0","0","0",1
"A","experimental",7,9,"H7","75","0","0","1",1
"A","experimental",7,9,"H8","381","0","0","1",1
"A","experimental",7,9,"H9","0","0","0","0",1
"A","experimental",7,9,"H10","0","0","0","0",1
"A","experimental",7,9,"H11","0","0","0","0",1
"A","experimental",7,9,"H12","58","6","0","1",1
"A","control",7,9,"D1","0","0","0","0",1
"A","control",7,9,"D2","0","0","0","0",1
"A","control",7,9,"D3","0","0","0","0",1
"A","control",7,9,"D4","0","0","0","0",1
"A","control",7,9,"D5","0","0","0","0",1
"A","control",7,9,"D6","0","0","0","0",1
"A","control",7,9,"D7","0","0","0","0",1
"A","control",7,9,"D8","0","0","0","0",1
"A","control",7,9,"D9","0","0","0","0",1
"A","control",7,9,"D10","0","0","0","0",1
"A","control",7,9,"D11","0","0","0","0",1
"A","control",7,9,"D12","0","0","0","0",1
"A","experimental",4,6,"A1","8","0","0","1",2
"A","experimental",4,6,"A2","0","0","0","0",2
"A","experimental",4,6,"A3","0","0","0","0",2
"A","experimental",4,6,"A4","0","0","0","0",2
"A","experimental",4,6,"A5","0","0","0","0",2
"A","experimental",4,6,"A6","0","0","0","0",2
"A","experimental",4,6,"A7","0","0","0","0",2
"A","experimental",4,6,"A8","0","0","0","0",2
"A","experimental",4,6,"A9","0","0","0","0",2
"A","experimental",4,6,"A10","0","0","0","0",2
"A","experimental",4,6,"A11","0","0","0","0",2
"A","experimental",4,6,"A12","10","0","0","1",2
"A","experimental",4,6,"B1","0","0","0","0",2
"A","experimental",4,6,"B2","dead","dead","dead","dead",2
"A","experimental",4,6,"B3","0","0","0","0",2
"A","experimental",4,6,"B4","13","0","0","1",2
"A","experimental",4,6,"B5","11","1","0","1",2
"A","experimental",4,6,"B6","0","0","0","0",2
"A","experimental",4,6,"B7","0","0","0","0",2
"A","experimental",4,6,"B8","0","0","0","0",2
"A","experimental",4,6,"B9","3","0","0","1",2
"A","experimental",4,6,"B10","0","0","0","0",2
"A","experimental",4,6,"B11","0","0","0","0",2
"A","experimental",4,6,"B12","0","0","0","0",2
"A","control",4,6,"A1","0","0","0","0",2
"A","control",4,6,"A2","0","0","0","0",2
"A","control",4,6,"A3","0","0","0","0",2
"A","control",4,6,"A4","0","0","0","0",2
"A","control",4,6,"A5","0","0","0","0",2
"A","control",4,6,"A6","0","0","0","0",2
"A","control",4,6,"A7","0","0","0","0",2
"A","control",4,6,"A8","0","0","0","0",2
"A","control",4,6,"A9","0","0","0","0",2
"A","control",4,6,"A10","0","0","0","0",2
"A","control",4,6,"A11","0","0","0","0",2
"A","control",4,6,"A12","0","0","0","0",2
"B","experimental",4,6,"A1","0","0","0","0",2
"B","experimental",4,6,"A2","0","0","0","0",2
"B","experimental",4,6,"A3","0","0","0","0",2
"B","experimental",4,6,"A4","0","0","0","0",2
"B","experimental",4,6,"A5","0","0","0","0",2
"B","experimental",4,6,"A6","98","0","0","1",2
"B","experimental",4,6,"A7","0","0","0","0",2
"B","experimental",4,6,"A8","0","0","0","0",2
"B","experimental",4,6,"A9","0","0","0","0",2
"B","experimental",4,6,"A10","0","0","0","0",2
"B","experimental",4,6,"A11","0","0","0","0",2
"B","experimental",4,6,"A12","0","0","0","0",2
"B","experimental",4,6,"B1","41","0","0","1",2
"B","experimental",4,6,"B2","0","0","0","0",2
