treatment,replicate_no,dissection_no,id,trophont,gamont,gut_gametocyst,par_presence
E,4,2,E6,43,0,0,1
E,4,2,E7,70,0,0,1
E,4,2,E8,0,1,0,1
E,4,2,E9,0,0,0,0
E,4,2,E10,45,0,23,1
B,3,2,F1,277,0,0,1
B,3,2,F2,3,0,0,1
B,3,2,F3,0,0,0,0
B,3,2,F4,1,0,0,1
B,3,2,F5,0,0,0,0
B,3,2,F6,0,0,0,0
B,3,2,F7,81,1,0,1
B,3,2,F8,253,0,16,1
B,3,2,F9,0,0,0,0
B,3,2,F10,26,0,0,1
D,2,2,G1,54,0,1,1
D,2,2,G2,0,0,0,0
D,2,2,G3,0,0,0,0
D,2,2,G4,1,0,0,1
D,2,2,G5,35,0,0,1
D,2,2,G6,0,0,0,0
D,2,2,G7,0,0,0,0
D,2,2,G8,44,3,0,1
D,2,2,G9,50,2,0,1
D,2,2,G10,0,0,0,0
B,5,2,H1,0,0,0,0
B,5,2,H2,0,0,0,0
B,5,2,H3,0,0,0,0
B,5,2,H4,154,0,0,1
B,5,2,H5,0,0,0,0
B,5,2,H6,0,0,0,0
B,5,2,H7,0,0,0,0
B,5,2,H8,0,0,0,0
B,5,2,H9,98,0,0,1
B,5,2,H10,286,0,0,1
C,5,2,A1,247,0,0,1
C,5,2,A2,6,0,0,1
C,5,2,A3,5,0,0,1
C,5,2,A4,43,0,0,1
C,5,2,A5,36,0,0,1
C,5,2,A6,0,0,0,0
C,5,2,A7,0,0,0,0
C,5,2,A8,0,0,0,0
C,5,2,A9,39,0,3,1
C,5,2,A10,0,0,0,0
E,1,2,B1,50,0,2,1
E,1,2,B2,2,0,0,1
E,1,2,B3,52,0,0,1
E,1,2,B4,0,0,0,0
E,1,2,B5,68,0,0,1
E,1,2,B6,75,0,0,1
E,1,2,B7,1,0,0,1
E,1,2,B8,10,0,3,1
E,1,2,B9,2,0,0,1
E,1,2,B10,32,0,5,1
A,3,2,C1,0,0,0,0
A,3,2,C2,0,0,0,0
A,3,2,C3,3,0,0,1
A,3,2,C4,0,0,0,0
A,3,2,C5,0,0,0,0
A,3,2,C6,0,0,0,0
A,3,2,C7,39,0,0,1
A,3,2,C8,0,0,0,0
A,3,2,C9,0,0,0,0
A,3,2,C10,0,0,0,0
A,5,2,D1,0,0,0,0
A,5,2,D2,0,0,0,0
A,5,2,D3,186,0,0,1
A,5,2,D4,0,0,0,0
A,5,2,D5,0,0,0,0
A,5,2,D6,0,0,0,0
A,5,2,D7,149,0,0,1
A,5,2,D8,0,0,0,0
A,5,2,D9,0,0,0,0
A,5,2,D10,0,0,0,0
E,3,2,E1,111,0,14,1
E,3,2,E2,6,0,0,1
E,3,2,E3,0,0,0,0
E,3,2,E4,0,0,0,0
E,3,2,E5,213,0,0,1
E,3,2,E6,56,0,0,1
E,3,2,E7,0,0,0,0
E,3,2,E8,67,0,0,1
E,3,2,E9,0,0,0,0
E,3,2,E10,0,0,0,0
B,4,2,F1,0,0,0,0
B,4,2,F2,19,0,0,1
B,4,2,F3,44,0,0,1
B,4,2,F4,0,0,0,0
B,4,2,F5,27,0,0,1
B,4,2,F6,0,0,0,0
B,4,2,F7,0,0,0,0
B,4,2,F8,4,0,0,1
B,4,2,F9,0,0,0,0
B,4,2,F10,70,0,0,1
C,1,2,G1,0,0,0,0
C,1,2,G2,0,0,0,0
C,1,2,G3,60,0,0,1
C,1,2,G4,0,0,0,0
C,1,2,G5,4,0,0,1
C,1,2,G6,0,0,0,0
C,1,2,G7,0,0,0,0
C,1,2,G8,4,0,0,1
C,1,2,G9,0,0,0,0
C,1,2,G10,0,0,0,0
C,4,2,H1,12,0,0,1
C,4,2,H2,0,0,0,0
C,4,2,H3,2,0,0,1
C,4,2,H4,0,0,0,0
C,4,2,H5,19,0,0,1
C,4,2,H6,0,1,0,1
